Round;License;Bidder ID;Bid;Bid (USD);Bidder Name
1;B;L;100000000;45696000;Libertel
2;B;L;100000000;45696000;Libertel
3;B;L;100000000;45696000;Libertel
4;A;K;0;0;KPN
4;B;L;100000000;45696000;Libertel
4;C;B;100000;45696;Ben
4;D;T;0;0;Telfort
4;E;V;0;0;Versatel
5;A;K;0;0;KPN
5;B;L;100000000;45696000;Libertel
5;C;D;300000;137088;Dutchtone
5;D;T;0;0;Telfort
5;E;V;0;0;Versatel
60;A;T;110100000;50311296;Telfort
60;B;L;110000000;50265600;Libertel
60;C;D;500000;228480;Dutchtone
60;D;B;400000;182784;Ben
60;E;V;600000;274176;Versatel
96;A;L;612200000;279750912;Libertel
96;B;K;611600000;279476736;KPN
96;C;D;500000;228480;Dutchtone
96;D;B;400000;182784;Ben
96;E;V;600000;274176;Versatel
176;A;L;612200000;279750912;Libertel
176;B;K;611600000;279476736;KPN
176;C;D;14100000;6443136;Dutchtone
176;D;T;12200000;5574912;Telfort
176;E;B;11100000;5072256;Ben
177;A;V;673400000;307716864;Versatel
177;B;K;611600000;279476736;KPN
177;C;D;14100000;6443136;Dutchtone
177;D;T;12200000;5574912;Telfort
177;E;B;11100000;5072256;Ben
219;A;V;673400000;307716864;Versatel
219;B;K;611600000;279476736;KPN
219;C;D;96800000;44233728;Dutchtone
219;D;B;88000000;40212480;Ben
219;E;L;66000000;30159360;Libertel
222;A;T;740700000;338470272;Telfort
222;B;K;740000000;338150400;KPN
222;C;D;96800000;44233728;Dutchtone
222;D;B;88000000;40212480;Ben
222;E;L;66000000;30159360;Libertel
248;A;T;740700000;338470272;Telfort
248;B;K;740000000;338150400;KPN
248;C;D;302500000;138230400;Dutchtone
248;D;V;223900000;102313344;Versatel
248;E;B;277200000;126669312;Ben
254;A;K;985900000;450516864;KPN
254;B;L;986200000;450653952;Libertel
254;C;D;302500000;138230400;Dutchtone
254;D;V;223900000;102313344;Versatel
254;E;B;277200000;126669312;Ben
257;A;K;985900000;450516864;KPN
257;B;L;986200000;450653952;Libertel
257;C;D;539000000;246301440;Dutchtone
257;D;B;588500000;268920960;Ben
257;E;V;489700000;223773312;Versatel
282;A;L;1443000000;659393280;Libertel
282;B;K;1437000000;656651520;KPN
282;C;D;539000000;246301440;Dutchtone
282;D;B;588500000;268920960;Ben
282;E;V;489700000;223773312;Versatel
296;A;L;1443000000;659393280;Libertel
296;B;K;1437000000;656651520;KPN
296;C;B;867900000;396595584;Ben
296;D;T;861500000;393671040;Telfort
296;E;V;791300000;361592448;Versatel
297;A;L;1443000000;659393280;Libertel
297;B;K;1437000000;656651520;KPN
297;C;B;867900000;396595584;Ben
297;D;T;861500000;393671040;Telfort
297;E;D;879400000;401850624;Dutchtone
298;A;L;1443000000;659393280;Libertel
298;B;K;1437000000;656651520;KPN
298;C;B;867900000;396595584;Ben
298;D;V;947600000;433015296;Versatel
298;E;D;870400000;397737984;Dutchtone
299;A;L;1443000000;659393280;Libertel
299;B;K;1437000000;656651520;KPN
299;C;T;953000000;435482880;Telfort
299;D;V;947600000;433015296;Versatel
299;E;D;870400000;397737984;Dutchtone
300;A;L;1443000000;659393280;Libertel
300;B;K;1437000000;656651520;KPN
300;C;T;953000000;435482880;Telfort
300;D;V;947600000;433015296;Versatel
300;E;B;955000000;436396800;Ben
301;A;L;1443000000;659393280;Libertel
301;B;K;1437000000;656651520;KPN
301;C;D;1045000000;477523200;Dutchtone
301;D;V;947600000;433015296;Versatel
301;E;B;955000000;436396800;Ben
302;A;L;1443000000;659393280;Libertel
302;B;T;1567000000;716056320;Telfort
302;C;D;1045000000;477523200;Dutchtone
302;D;V;947600000;433015296;Versatel
302;E;B;955000000;436396800;Ben
303;A;K;1573000000;718798080;KPN
303;B;T;1567000000;716056320;Telfort
303;C;D;1045000000;477523200;Dutchtone
303;D;V;947600000;433015296;Versatel
303;E;B;955000000;436396800;Ben
304;A;L;1703000000;778202880;Libertel
304;B;T;1567000000;716056320;Telfort
304;C;D;1045000000;477523200;Dutchtone
304;D;V;947600000;433015296;Versatel
304;E;B;955000000;436396800;Ben
305;A;L;1703000000;778202880;Libertel
305;B;K;1697000000;775461120;KPN
305;C;D;1045000000;477523200;Dutchtone
305;D;V;947600000;433015296;Versatel
305;E;B;955000000;436396800;Ben
306;A;L;1703000000;778202880;Libertel
306;B;K;1697000000;775461120;KPN
306;C;D;1045000000;477523200;Dutchtone
306;D;T;1042000000;476152320;Telfort
306;E;B;955000000;436396800;Ben
